id,refto,time,date,votes,comment
1,0,14-22,12-04-2014,-4,"Meiner Meinung nach sind Smart Comments ueberfluessig!"
2,1,14-22,12-04-2014,2,"Ich glaube deine Meinung ist unbegruendet!"
3,1,14-22,12-04-2014,-1,"ich glaube du bist ueberfluessig!"
4,0,14-22,12-04-2014,7,"Ich finde das toll die beiden Entwickler sollten Nationalhelden werden!"
5,0,14-22,12-04-2014,-4,"Und was soll das der Menschheit nutzen?"
6,5,14-22,12-04-2014,2,"Vielleicht können die beiden echt was bewegen..."
7,5,14-22,12-04-2014,9,"Ich mag Zuege"
8,0,14-22,12-04-2014,2,"geniales Konzept!"
9,8,14-22,12-04-2014,8,"ich werde den Entwicklern was spenden!"
10,8,14-22,12-04-2014,8,"Ich auch!"
